"EmployeeNumber","Department","JobRole","Age","MonthlyIncome","YearsAtCompany","OverTime","JobSatisfaction","WorkLifeBalance"
"10","Research & Development","Laboratory Technician","59","2670","1","Yes","1","2"
"518","Research & Development","Manufacturing Director","37","4197","1","Yes","2","2"
"214","Research & Development","Research Scientist","58","3346","1","Yes","2","2"
"1674","Research & Development","Laboratory Technician","49","2587","2","Yes","1","2"
"1396","Sales","Sales Executive","32","4078","3","Yes","2","2"
"434","Research & Development","Research Scientist","27","2478","4","Yes","2","2"
"284","Research & Development","Research Scientist","22","2328","4","Yes","2","2"
"1998","Research & Development","Research Scientist","42","5410","4","Yes","1","2"
"68","Sales","Sales Executive","44","5454","4","Yes","1","2"
"233","Research & Development","Research Scientist","27","3058","5","Yes","2","2"
"802","Research & Development","Research Scientist","37","2782","5","Yes","1","2"
"1251","Research & Development","Healthcare Representative","31","6833","6","Yes","1","2"
"21","Research & Development","Research Scientist","32","3298","6","Yes","2","2"
"363","Sales","Manager","46","16872","7","Yes","2","2"
"267","Research & Development","Research Scientist","37","3564","8","Yes","1","2"
"1015","Research & Development","Research Director","30","11416","8","Yes","1","2"
"141","Research & Development","Research Director","50","18172","8","Yes","2","2"
"1244","Research & Development","Research Scientist","27","2235","9","Yes","1","2"
"605","Research & Development","Manufacturing Director","42","7406","10","Yes","1","2"
"1669","Sales","Sales Executive","29","4187","10","Yes","2","2"
"124","Research & Development","Healthcare Representative","46","10673","10","Yes","1","2"
"121","Sales","Sales Executive","30","5209","11","Yes","2","2"
"1282","Sales","Manager","51","19847","29","Yes","2","2"
