Department,JobRole,Age,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,Risk_Score
Research & Development,Laboratory Technician,59,2670,1,Yes,1,3
Research & Development,Research Scientist,58,3346,1,Yes,2,3
Research & Development,Research Director,45,13245,0,Yes,1,3
Research & Development,Laboratory Technician,35,4014,2,Yes,1,3
Research & Development,Research Scientist,36,3419,1,Yes,1,3
Research & Development,Research Scientist,56,4257,2,Yes,1,3
Research & Development,Manufacturing Director,37,4197,1,Yes,2,3
Research & Development,Research Scientist,31,2657,2,Yes,2,3
Research & Development,Research Scientist,36,6962,1,Yes,2,3
Research & Development,Research Scientist,21,2070,2,Yes,2,3
Research & Development,Research Director,42,13191,1,Yes,1,3
Research & Development,Research Scientist,42,2372,1,Yes,2,3
Research & Development,Research Scientist,40,3617,1,Yes,2,3
Research & Development,Laboratory Technician,49,2587,2,Yes,1,3
Research & Development,Manufacturing Director,40,6516,1,Yes,1,3
Sales,Sales Representative,21,2380,2,Yes,1,3
Research & Development,Laboratory Technician,27,3468,2,No,2,2
Sales,Manager,46,18947,2,No,1,2
Research & Development,Laboratory Technician,22,2935,1,Yes,4,2
Research & Development,Research Scientist,32,3298,6,Yes,2,2
Research & Development,Healthcare Representative,35,9884,4,Yes,1,2
Research & Development,Research Director,50,18172,8,Yes,2,2
Research & Development,Research Scientist,32,2956,1,No,1,2
Research & Development,Laboratory Technician,19,1483,1,No,2,2
Research & Development,Research Scientist,34,4505,1,No,2,2
Research & Development,Research Scientist,27,2024,2,No,2,2
Research & Development,Research Scientist,27,2566,1,Yes,3,2
Research & Development,Research Scientist,27,3058,5,Yes,2,2
Sales,Sales Executive,45,5006,5,Yes,1,2
Research & Development,Research Scientist,45,9724,1,No,1,2
Research & Development,Research Scientist,31,2501,1,No,2,2
Human Resources,Human Resources,46,5021,4,Yes,2,2
Sales,Sales Representative,23,2322,0,No,1,2
Sales,Sales Executive,30,5209,11,Yes,2,2
Research & Development,Healthcare Representative,46,10673,10,Yes,1,2
Sales,Sales Executive,44,5454,4,Yes,1,2
Research & Development,Research Scientist,37,3022,1,No,2,2
Sales,Manager,46,16872,7,Yes,2,2
Research & Development,Laboratory Technician,42,2593,9,Yes,1,2
Sales,Sales Executive,29,6644,0,No,2,2
Research & Development,Manager,55,19045,36,Yes,1,2
Research & Development,Research Director,49,18665,3,Yes,1,2
Sales,Sales Representative,31,2789,2,No,2,2
Sales,Sales Executive,38,5605,8,Yes,1,2
Research & Development,Healthcare Representative,26,4741,5,Yes,1,2
Research & Development,Manager,39,17068,21,Yes,1,2
